,시도,시구군,장소유형,상호명,주소(도로명주소),노출일시,소독여부
0,부산,-,시외버스,신흥여객(경남70아3276),부산서부시외버스터미널(사상구 사상로201)~마산시외버스터미널(창원시 마산회원구 3⸱15대로 756),2021.1.4.(월) 16:50~17:30경,소독완료
1,부산,연제구,잡화점,다이소 연산토곡2호점,"연제구 과정로157, 연산동",2021.1.4.(월) 16:49~17:03,소독완료
2,부산,-,택시,택시,37바5064 택시,2021.1.3.(일) ~ 1.4.(월)택시이용객 보건소 선별진료소 방문 바람,-
3,부산,부산진구,음식점,오광보신탕,부산진구 부전로96번길 24(부전동),2020.12.30.(수) 12:15~13:11,소독완료
4,부산,-,시외버스,천일여객(경남70아7553),부산서부시외버스터미널(사상구 사상로201)~창원시외버스터미널(경남 창원시 의창구 창원대로 371),2021.1.3.(일) 15:36~16:21경,소독완료
5,부산,수영구,목욕탕,화신탕(여탕),"수영구 수미로 51, 망미동",2021.1.3.(일) 17:24~18:55,소독완료
6,부산,동구,PC방,에이아이 PC방,"동구 초량중로 95, 2층 (초량동) 흡연실 이용자 및 42~110번 PC사용자",2021.1.2.(토) 11:44~17:582021.1.3.(일) 12:28~20:242021.1.4.(월) 12:08~17:262021.1.5.(화) 11:41~13:31,소독완료
7,부산,연제구,음식점,오갈미순두부전문,"연제구 거제천로 154번길 10, 연산동",2021.1.2.(토) 13:0014:00,소독완료
8,부산,부산진구,일반게임제공업,고고성인게임장,"부산진구 새싹로28번길 27, 2층(부전동)",2021.1.2.(토) 15:30~16:302021.1.3.(일) 14:40~15:20,소독완료
9,부산,남구,음식점,김선장 횟집,남구 못골번영로7(대연동),2021.1.1.(금) 16:14~17:00,소독완료
10,부산,-,택시,택시,망미동 망미중앙시장~중앙동 근대역사관 맞은편,2020.12.29. 23:11~23:33(추정)여성1명 현금수납한 택시기사님(중구보건소로 연락바람),-
11,부산,-,택시,택시,망미동 망미중앙시장~중앙동 근대역사관 맞은편,2020.12.28. 23:06~23:32(추정)여성1명 현금수납한 택시기사님(중구보건소로 연락바람),-
12,부산,-,택시,택시,부산과학기술대학교 버스정류소~벽산라인타운2차 정문,2020.12.26.(토) 15:00~15:15현금수납한 택시기사님(북구보건소로 연락바람),-
13,부산,기장군,정육점,남광식육점,"기장군 정관읍 정관덕산길 30, 방곡리",2021.1.3.(일) 18:03~18:18,소독완료
14,부산,사하구,버스,1000번 버스,서면역⸱서면지하상가~신평,2021.1.4.(월) 18:31~19:10,소독완료
15,부산,부산진구,건강기능식품판매장,BM헬스케어,"부산진구 동평로420번길 13,6층(양정동)",2020.12.28.(월)~12.31.(목) 8:00~10:00,소독완료
16,부산,-,택시,택시,낫개역~사하구보건소 선별진료소,"2020.12.28.(월) 09:40~10:00경7,000원 현금 수납한 택시기사님(사하구보건소로 연락바람)",-
17,부산,동래구,음식점,원칼국수,"동래구 충렬대로175,명륜동",2020.12.30.(수) 14:40~15:20 식사하신분 동래구보건소로 연락바람,소독완료
18,부산,중구,음식점,동해물회,"중구 충장대로9번길 27, 중앙동4가 (중부소방소 뒷편)",2020.12.31. 11:50~12:27,소독완료
19,부산,-,버스,30번,영도우체국~동삼주공아파트입구,2020.12.28.(월) 12:09~12:22,소독완료
20,부산,-,버스,113번,동삼주공~영도우체국,2020.12.28.(월) 11:42~11:54,소독완료
21,부산,-,택시,택시,놀이마루~부산진구청후문 정류장,"2021.1.3.(일) 16:40~16:50현금 3,700원 수납하신 기사님",-
22,부산,-,택시,택시,부전시장입구 버스정류장~어린이놀이터 버스정류장,2021.1.3.(일) 16:00~16:10택시기사님 연락바람,-
23,부산,서구,음식점,바닷속 조개왕국,서구 송도해변로157(암남동),2020.12.26.(토) 18:30~21:00,소독완료
24,부산,-,택시,택시,대청사거리~부민동노외공영주차장 인근,"2020.12.30.(수) 18:10~18:30경 3,900원 현금 수납 하신 택시기사님(서구보건소로 연락바람)",-
25,부산,남구,휴게음식점,베스킨라빈스 경성대점,남구 용소로9(대연동),​2020.12.31.(목) 16:00~16:10,소독완료
26,부산,-,버스,강서구 마을버스12번,성산~하단역,2020.12.27.(일) 15:02~15:18,소독완료
27,부산,-,버스,강서구 마을버스12번,하단역~성산,2020.12.27.(일) 9:04~9:15경,소독완료
28,부산,-,버스,71번,신동아시장~동삼1동 행정복지센터,2020.12.27.(일) 16:01~16:32경,소독완료
29,부산,-,버스,71번,동삼1동행정복지센터~영도대교(남포역),2020.12.27.(일) 8:13~8:33,소독완료
30,부산,-,택시,택시,동삼로12길~동삼주공아파트도로앞,"2020.12.26.(토) 14:05~14:15경현금결제 3,300원 남성2명 태운 택시기사님(영도구보건소로 연락바람)",-
31,부산,-,택시,택시,동산주공아파트도로앞~동삼로12길,2020.12.26. 13:40~13:50경,-
32,부산,기장군,식당,순남시래기,기장군 정관읍 모전1길 6-25(모전리),"2020.12.30.(수) 16:4510,000원 현금결제하신 분",소독완료
33,부산,-,택시,택시,부전역 8번 출구 앞~부산시청역 신촌로 부근,"2020.12.28.(월) 19:02~19:18경현금결제 5,000원 수납하신 택시기사님",-
34,부산,-,기차,KTX(#127),KTX(#127)16호차[서울->부산],2020.12.28.(월) 12:00~14:42(연제구보건소로 연락바람),소독완료
35,부산,동래구,의료기관,이상봉 치과의원,동래구 중앙대로1473번길 14-18(온천동),2020.12.29.(화)~12.31.(목),소독완료
36,부산,북구,음식점,밀밭국수,북구 화명대로12번길 86,2020.12.27(일) 14:20-14:50,소독완료
37,부산,남구,음식점,행복한오리,남구 수영로 153,2020.12.29(화) 17:00-21:00,소독완료
38,부산,연제구,카페,유니버스카페,연제구 월드컵대로119번길 31,2020.12.29(화) 16:26-18:17,소독완료
39,부산,영도구,택시,,쌍용자동차학원 정류장 ->남항동 버스정류장 부근,2020.12.31(목) 10:30-10:42(추정),
40,부산,영도구,택시,,남항동 버스정류장 부근 ->쌍용자동차학원정류장부근,2020.12.31(목) 9:25-9:35(추정),
41,부산,영도구,택시,,쌍용자동차학원정류장 ->남항동버스정류장 부근,2020.12.30(수) 14:50-15:00 (추정),
42,부산,영도구,택시,,남항동 버스정류장부근 ->쌍용자동차학원 정류장부근,2020.12.30(수) 13:00-13:13(추정),
43,부산,동래구,음식점,동흥안가,동래구 명안로81-1(명장동),2020.12.23(수)-12.28(월),소독완료
44,부산,사하구,당구장,하이웰당구클럽,사하구 하신중앙로331(하이웰빌딩 3층),2020.12.28(월) 15:40-16:40,소독완료
45,부산,기장군,버스,37번 시내버스,솔빛공원- 부산종합터미널,시내버스(70자2581) 2020. 12. 29.(화) 08:23~08:44,소독완료
46,부산,기장군,버스,37번 시내버스,부산종합터미널-솔빛공원,시내버스(70자2581) 2020. 12. 28.(월)18:09~18:39,소독완료
