,시도,장소유형,상호명,주소(도로명),노출일시,소독여부
0,세종,병의원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
1,세종,식당,봉피양 벽제설렁탕,"도움8로 91, 2층(어진동, 세종마치)",21/01/05 19:30 ~ 19:50,예정
2,세종,교회,말씀의교회,"아름남길 10, 지하 (아름동)","21/01/06 09:00 ~ 11:00, 14:00 ~ 1900",완료
3,세종,병의원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
4,세종,운동시설,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
5,세종,카페,카페리즌,금남면 도남2안길 13,21/1/1 15:50~17:50,완료
6,세종,카페,YETT (예뜨),연서면 도신고복로 629,21/1/2 16:00~19:00,완료
7,세종,공공기관,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
8,세종,식당,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
9,세종,공공기관,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
