,구,장소유형,상호명,주소,노출일시,소독여부
0,북구,식당,태화횟집,여남동 134,"1.9.(토), 18:20~20:00",소독완료
1,북구,백화점,롯데백화점 포항점,학산동 127-9,"1.9.(토), 15:30~17:30",소독완료
2,남구,의류매장,포항 유니클로해도점,해도동 540,"1.4.(월), 12:27~12:37",소독완료
3,남구,애견용품,폴리파크 상도점,상도동 603-4,"1.4.(월)~6.(수), 16:00~22:00",소독완료
4,남구,버스,111번 버스,시외버스터미널 앞 정류장(승차)→이동사거리 앞 정류장(하차),"1.4.(월)~5.(화), 22:06~22:20",소독완료
5,남구,버스,306번 버스,시외버스터미널 앞 정류장(승차)→유강방면(하차),"1.6.(수), 22:04~22:20",소독완료
6,남구,버스,306번 버스,이동사거리 앞 정류장(승차)→시외버스터미널 앞 정류장(하차),"1.4.(월), 15:39~15:501.5.(화),15:38~15:501.6.(수),15:40~15:50",소독완료
7,북구,기도원,엘림기도원,송라면 상송리 202-1,"1.6.(수)~7.(목), 18:20~22:00",소독완료
8,,,,,,
9,남구,음식점,대왕산 식당,연일읍 동문리 342-7,"1.5.(화), 11:50~12:16",소독완료
10,,,,,,
11,남구,음식점,밀밭집,연일읍 동문리 98,"1.4.(월), 11:50~12:20",소독완료
12,,,,,,
13,남구,음식점,외식1번가,연일읍 자명리 649-1,"12.31.(목), 11:30~12:20",소독완료
14,,,,,,
15,북구,버스,207번 버스,포은중앙도서관→노인복지회관 정류장,1.5.(화) 12:30~12:45,소독완료
16,,,,,,
17,북구,은행,우리은행포항지점,상원동 441-1,1.5.(화) 12:00~12:23,소독완료
18,,,,,,
19,북구,버스,207번 버스,노인복지회관 정류장→북구청 정류장,1.5.(화) 11:40~11:55,소독완료
20,,,,,,
21,남구,버스,216번 버스,시청 앞→유강방면,12.31.(목) 20:19~20:40,소독완료
22,남구,당구장,민당구클럽,"대잠동999-5,2층",12.31.(목) 19:00~20:00,소독완료
23,북구,우체국,포항 장량동 우체국,장성동 1440-3,12.29.(화)~31.(목) 08:30~18:001.4.(월)~1.5.(화) 08:30~18:00,소독완료
24,남구,약국,참평화약국,대잠동 230-4,1.4.(월) 10:40 ~ 11:20,소독완료
25,남구,음식점,날마다좋은집,대송면 대각리 321-3,12.31(목) 12:00 ~ 12:50,소독완료
26,북구,공공기관,두호동행정복지센터,두호동 1007,"12.31.(목), 09:27~09:46",소독완료
