,구,장소유형,상호명,주소,노출일시,소독여부
0,북구,식당,공화춘,흥해읍 대련리 1132-3,"1.15(금),13:30~14:20",소독완료
1,북구,온천,양덕 광천수 온천(남탕 및 헬스장),흥해읍 죽천리 474,1.10.(일)~1.15(금),소독완료
2,북구,버스,5000번 버스,포항역 정류장(승차)→월포역 정류장(하차),"1.14.(목), 11:40~12:30",소독완료
3,북구,버스,5000번 버스,월포역 정류장(승차)→포항역 정류장(하차),"1.14.(목), 10:40~11:20",소독완료
4,북구,마트,보경할인마트,북구 청하면 미남리 453-7,"1.12.(화), 17:50~18:10",소독완료
5,북구,목욕탕,시원청(남탕),북구 덕산동 234-6,1.11.(월)~ 1.13.(수),소독완료
6,북구,목욕탕,양덕광천수온천(남탕),흥해읍 죽천리 474,"1.10.(일), 07:20~08:40",소독완료
7,남구,편의점,미니스톱 포항희망점,"대도동 148, 상가동 101호","1.11.(월), 16:00~22:00",소독완료
8,북구,식당,태화횟집,여남동 134,"1.9.(토), 18:20~20:00",소독완료
9,북구,백화점,롯데백화점 포항점,학산동 127-9,"1.9.(토), 15:30~17:30",소독완료
10,남구,의류매장,포항 유니클로해도점,해도동 540,"1.4.(월), 12:27~12:37",소독완료
11,남구,애견용품,폴리파크 상도점,상도동 603-4,"1.4.(월)~6.(수), 16:00~22:00",소독완료
12,남구,버스,111번 버스,시외버스터미널 앞 정류장(승차)→이동사거리 앞 정류장(하차),"1.4.(월)~5.(화), 22:06~22:20",소독완료
13,남구,버스,306번 버스,시외버스터미널 앞 정류장(승차)→유강방면(하차),"1.6.(수), 22:04~22:20",소독완료
14,남구,버스,306번 버스,이동사거리 앞 정류장(승차)→시외버스터미널 앞 정류장(하차),"1.4.(월), 15:39~15:501.5.(화),15:38~15:501.6.(수),15:40~15:50",소독완료
15,북구,기도원,엘림기도원,송라면 상송리 202-1,"1.6.(수)~7.(목), 18:20~22:00",소독완료
16,,,,,,
17,남구,음식점,대왕산 식당,연일읍 동문리 342-7,"1.5.(화), 11:50~12:16",소독완료
18,,,,,,
19,남구,음식점,밀밭집,연일읍 동문리 98,"1.4.(월), 11:50~12:20",소독완료
20,,,,,,
21,북구,버스,207번 버스,포은중앙도서관→노인복지회관 정류장,1.5.(화) 12:30~12:45,소독완료
22,,,,,,
23,북구,은행,우리은행포항지점,상원동 441-1,1.5.(화) 12:00~12:23,소독완료
24,,,,,,
25,북구,버스,207번 버스,노인복지회관 정류장→북구청 정류장,1.5.(화) 11:40~11:55,소독완료
26,,,,,,
27,북구,우체국,포항 장량동 우체국,장성동 1440-3,12.29.(화)~31.(목) 08:30~18:001.4.(월)~1.5.(화) 08:30~18:00,소독완료
28,남구,약국,참평화약국,대잠동 230-4,1.4.(월) 10:40 ~ 11:20,소독완료
