,시도,장소유형,상호명,주소(도로명),노출일시,소독여부
0,세종,병원,세종충남대학교병원,"보듬7로 20, 1층, 지하1층(도담동)",01/15 14:00~16:20,완료
1,세종,약국,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
2,세종,병원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
3,세종,약국,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
4,세종,병원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
5,세종,학원,라움음악학원,"보듬3로 91, 4층 (아름동, 해피라움 4)","01/07 14:00~17:30, 01/11 14:00~17:30, 01/12 14:00~17:30, 01/13 14:00~17:30, 01/14 14:00~17:30",완료
6,세종,학원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",소독완료
7,세종,학원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",소독완료
8,세종,학원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",소독완료
9,세종,학원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",소독완료
