,시도,시구군,장소유형,상호명,주소(도로명주소),노출일시,소독여부
0,부산,동구,음식점,풍기삼계탕,동구 중앙대로286번길 3-5(초량동),2021.1.13.(수) 12:15~13:45,소독완료
1,부산,남구,택시,택시,범일동 자유시장 버스정류소 승차 -> 문현 현대APT 버스정류소 인근 하차,"2021.1.14. 18:20 경 승차5,000원 현금 수납한 택시기사님(남구보건소로 연락 및 검사요망)",-
2,부산,남구,패스트푸드점,맥도날드 경성대점 2층,"남구 수영로 304, 대연동",2021.1.15.(금) 18:30~19:00,소독완료
3,부산,연제구,의류가게,부산맞춤정장온더힐,연제구 월드컵대로 122 그린빌딩 1층(연산동),2020.1.15.(금)~1.16.(토)2021.1.18.(월),소독완료
4,부산,연제구,공공기관,부산지방법원,"연제구 법원로31, 거제동",2021.1.12.(화)~2021.1.15.(금),소독완료
5,부산,기장군,미용실,클리퍼,기장군 정관읍 정관2로 9(모전리),2021.1.10.(일)2021.1.13.(수)~2021.1.15.(금),소독완료
6,부산,동구,음식점,뉴포니기사식당,"동구 초량중로113,초량동",2021.1.8.(금)~1.15.(금)13:30~19:302021.1.16.(토) 13:00~15:00,소독완료
7,부산,부산진구,공공기관,부산진우체국영업과,"부산진구 서면문화로 14, 1층(부전동)",2021.1.13. 14:24~15:27,소독완료
8,부산,중구,공공기관,메리놀우편취급국,중구 중구로 121(대청동4가),2021.1.18.(월) 09:00~11:25,소독완료
9,부산,부산진구,음식점,할매추어탕,부산진구 범천동 839-34번지,2021.1.13.(수) ~2021.1.16.(토)07:00~16:00,-
10,부산,사상구,음식점,최뼈다구 해장국 2호점,"사상구 광장로22, 괘법동",2021.1.12.(화) 11:50~12:20(사상구보건소로 연락바람),소독완료
11,부산,-,시내버스,68번,하단교차로 -> 럭키아파트주례역,2021.1.14.(목) 16:32~16:56,소독완료
12,부산,-,시내버스,2번,대티고개 -> 하단교차로,2021.1.14.(목) 16:12~16:27,소독완료
13,부산,-,시내버스,81번,부경고교 -> 삼광사입구,2021.1.11.(월) 17:30~18:292021.1.12.(화) 16:41~17:332021.1.13.(수) 17:06~17:51,소독완료
14,부산,-,시내버스,81번,삼광사입구 -> 서부교회,2021.1.11.(월) 09:07~09:522021.1.12.(화) 09:07~09:552021.1.13.(수) 09:25~10:092021.1.14.(목) 09:32~10:16,소독완료
15,부산,서구,상급종합병원,부산대학교병원,서구 구덕로 179(아미동),"2021.1.11.(월) 9:50~10:35, 11:01~11:18C동5층 혈액종양내과 외래대기실 방문자",소독완료
16,부산,서구,목욕탕,남부탕(여탕),"서구 천마로106-1,남부민동",2021.1.13.(수) 16:50~18:10,소독완료
17,부산,동구,음식점,서울삼계탕,"동구 구봉로6,1층(초량동)",2021.1.11.(월) 18:46~19:202021.1.14.(목) 19:19~19:54,소독완료
18,부산,중구,음식점,미스사이공중앙점,중구 충장대로13번길 14(중앙동4가),2021.1.14.(목) 12:06~12:37,소독완료
19,-,-,시외버스,진주~사상 시외버스,진주시외버스터미널~사상시외버스터미널,2021.1.9.(토) 15:17~16:47(수영구보건소로 연락바람),소독완료
20,부산,금정구,백화점,NC백화점부산대점,금정구 부산대학로 63번길2,2021.1.10.(일) 16:30~17:40,소독완료
21,부산,남구,음식점,롯데리아경성대점,"남구 수영로300, 대연동",2021.1.13.(수) 19:37~20:06매장내에서 마스크벗고 햄버거 식사한 커플,소독완료
22,부산,사하구,음식점,다해먹거리,"사하구 대티로75, 괴정동",2021.1.11.(월) 12:05~12:302021.1.13.(수) 12:30~13:002021.1.14.(목) 12:30~13:30홀에서 식사하신분,소독완료
23,부산,사상구,음식점,이바구국밥,"사상구 가야대로 355, 주례동",2021.1.11.(월) 12:05~12:30(사상구보건소로 연락바람),소독완료
24,부산,금정구,PC방,자드피씨방,"금정구 중앙대로1719번길 37(부곡동, 정암빌딩)",2021.1.10.(일) 11:38~12:46 25번PC2021.1.11.(월) 11:28~20:58 79번PC2021.1.11.(월) 17:46~20:58 33번PC2021.1.11.(월) 18:18~21:01 73번PC(금정구보건소로 연락바람),소독완료
25,부산,강서구,음식점,단지분식,강서구 유통단지1로 50,2021.01.04(월)-01.06(수) 11:00-14:002021.01.08(금) 11:00-14:002021.01.11(월)-01.14(목) 11:00-14:00,소독완료
26,부산,,택시,,부산보건고등학교 인근-삼창파크타운 인근,2021.1.14(목) 14:45-15:00경,
27,부산,,버스,7번(70자1216),시내버스 7번(70자1216),2021.1.12(화) 06:11-14:002021.1.13(수) 05:59-13:462021.1.14(목) 05:47-13:32,소독완료
28,부산,,버스,508번 버스(70자1242),시내버스 508번(70자1242),2021.1.12(화) 05:00-14:062021.1.13(수) 06:21-13:462021.1.14(목) 06:00-13:22,소독완료
29,부산,부산진구,미용실,지오헤어클럽,부산진구 황령대로74번길 30(전포동),2021.01.03(일)-1.13(수),소독완료
30,부산,남구,음식점,와사비 문현점,남구 자성로 148,2021.01.14(목) 12:17-13:06,소독완료
31,부산,동구,음식점,김명자굴국밥,동구 조방로 35,2021.01.11(월) 16:15-16:50,소독완료
32,부산,부산진구,음식점,월전숯불장어구이,부산진구 자유평화로21-10 1층(범천동),2021.1.9.(토) 17:22~17:59(부산진구보건소로 연락바람),소독완료
33,부산,남구,캠핑용품상점,아토즈캠핑,남구 신선로 446(용당동),2021.1.9.(토) 11:30~20:002021.1.11.(월) 12:00~15:00,소독완료
34,부산,남구,음식점,홍춘천치즈닭갈비 W스퀘어점,남구 분포로 145 W스퀘어(용호동),2021.1.12.(화) 13:19~14:02(빨간후드 입은분 동행자),소독완료
35,부산,금정구,게임장,스마일게임랜드,금정구 서부로6,2021.1.9.(토) 15:10~17:152021.1.10.(일) 14:00~16:00,소독완료
36,부산,금정구,게임장,서동게임랜드,금정구 서동로186번길 6,2021.1.9.(토) 13:30~14:30,소독완료
37,부산,기장군,버스,189번,189번 버스 이용객(대진여객(기장군 철마면)->대진여객(기장군 철마면)),2021.1.2.(토) 05:08~13:002021.1.4.(월) 15:55~18:302021.1.5.(화) 13:09~21:482021.1.6.(수) 14:08~22:362021.1.9.(토) 05:36~13:282021.1.10.(일) 05:55~13:55,소독완료
38,부산,금정구,의원,늘편한내과의원,금정구 중앙대로 1841번길 15(구서동),2021.1.8.(금)~1.12.(화),소독완료
39,부산,수영구,종교시설,사도행전교회,수영구 과정로46(망미동),2020.12.20.(일)~2021.1.12.(화),소독완료
40,부산,부산진구,부동산중개업,중앙공인중개사사무소,"부산진구 범일로 154번길 33, 1027호(범천동)",2021.1.8.(금)2021.1.9.(토)2021.1.11.(월),-
41,부산,남구,음식점,왕다리수산,남구 우암로 178(우암동),2021.1.11.(월) 15:50~16:30,소독완료
42,부산,동래구,대형목욕탕,허심청,온천장로107번길 32,2021.1.8.(금) 12:20~16:40남탕 및 여탕 이용자,소독완료
